,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed
0,bubaque,GW,11.2833,-15.8333,77.92,74,19,13.89
1,sioux lookout,CA,50.1001,-91.917,23.0,80,90,10.36
2,rikitea,PF,-23.1203,-134.9692,77.97,76,50,14.52
3,mataura,NZ,-46.1927,168.8643,60.49,76,100,1.48
4,esperance,AU,-33.8667,121.9,69.8,40,75,16.11
5,gimli,CA,50.6336,-96.9907,21.2,79,100,19.57
6,kapaa,US,22.0752,-159.319,69.8,100,75,5.75
7,cabo san lucas,MX,22.8909,-109.9124,84.2,56,40,10.36
8,punta arenas,CL,-53.15,-70.9167,69.8,49,40,20.69
9,ushuaia,AR,-54.8,-68.3,53.6,82,75,14.97
10,hobart,AU,-42.8794,147.3294,57.0,76,75,5.75
11,huainan,CN,32.6264,116.9969,41.38,79,51,7.0
12,portland,US,45.5234,-122.6762,48.2,66,75,11.5
13,siljan,NO,59.2884,9.71,25.0,82,85,1.01
14,caravelas,BR,-17.7125,-39.2481,81.09,71,98,9.42
15,san patricio,US,28.017,-97.5169,71.6,28,1,6.82
16,albany,US,42.6001,-73.9662,30.0,88,100,12.75
17,klaksvik,FO,62.2266,-6.589,33.8,93,40,8.05
18,porto novo,BJ,6.4965,2.6036,84.2,89,20,8.05
19,itamaraju,BR,-17.0392,-39.5311,81.82,65,87,9.48
20,kamaishi,JP,39.2667,141.8833,22.21,86,0,6.08
21,barranca,PE,-10.75,-77.7667,74.91,64,46,10.56
22,butaritari,KI,3.0707,172.7902,81.77,83,85,19.51
23,santa maria,BR,-29.6842,-53.8069,86.0,66,75,4.61
24,daura,NG,11.5538,11.4085,77.23,17,0,11.01
25,trincomalee,LK,8.5711,81.2335,78.66,77,100,16.53
26,hilo,US,19.7297,-155.09,75.2,60,1,4.61
27,mahebourg,MU,-20.4081,57.7,80.6,78,40,11.5
28,hermanus,ZA,-34.4187,19.2345,66.99,84,0,7.07
29,busselton,AU,-33.65,115.3333,64.99,90,11,4.0
30,vaini,TO,-21.2,-175.2,77.0,100,90,10.36
31,pevek,RU,69.7008,170.3133,9.57,91,100,10.74
32,tasiilaq,GL,65.6145,-37.6368,19.4,93,90,2.3
33,chapais,CA,49.7834,-74.8492,26.6,59,1,9.22
34,kichera,RU,55.9375,110.0997,-23.94,67,0,1.28
35,cockburn town,TC,21.4612,-71.1419,78.8,73,40,13.8
36,cape town,ZA,-33.9258,18.4232,71.01,83,0,17.27
37,bluff,NZ,-46.6,168.3333,58.6,87,100,7.54
38,lagos,NG,6.5833,3.75,82.4,83,0,3.44
39,victoria,HK,22.2855,114.1577,63.0,81,78,5.01
40,grand gaube,MU,-20.0064,57.6608,78.01,84,13,3.0
41,turayf,SA,31.6725,38.6637,55.4,50,38,27.63
42,oksfjord,NO,70.2396,22.3479,26.6,59,20,8.05
43,port alfred,ZA,-33.5906,26.891,68.0,89,0,1.01
44,sao filipe,CV,14.8961,-24.4956,73.9,71,0,9.64
45,hithadhoo,MV,-0.6,73.0833,82.06,73,44,4.65
46,tuktoyaktuk,CA,69.4541,-133.0374,-31.0,68,20,6.91
47,sungaipenuh,ID,-2.0833,101.3833,64.06,96,94,3.31
48,ramapuram,IN,13.1167,79.2,67.26,94,2,1.57
49,isangel,VU,-19.55,169.2667,80.6,89,75,11.5
50,geraldton,AU,-28.7667,114.6,73.4,83,90,13.8
51,hovd,MN,48.0056,91.6419,4.77,85,73,1.48
52,carnarvon,AU,-24.8667,113.6333,75.2,100,40,21.85
53,margate,GB,51.3813,1.3862,51.01,82,17,5.99
54,ostrovnoy,RU,68.0531,39.5131,25.29,94,100,18.28
55,necochea,AR,-38.5473,-58.7368,72.0,56,42,5.01
56,provideniya,RU,64.3833,-173.3,7.63,91,100,15.52
57,naze,JP,28.3667,129.4833,51.3,75,2,17.02
58,kaniama,CD,-7.5667,24.1833,68.18,90,100,1.28
59,iguape,BR,-24.7081,-47.5553,82.27,80,16,9.69
60,clinton,US,42.587,-82.9199,33.8,64,75,16.11
61,bethanien,NA,-26.502,17.1583,81.23,27,0,17.4
62,jamestown,US,42.097,-79.2353,23.0,86,90,14.97
63,milos,GR,36.75,24.4333,53.6,94,100,4.61
64,mount gambier,AU,-37.8333,140.7667,57.2,77,90,8.05
65,nikolskoye,RU,59.7035,30.7861,24.8,86,90,6.71
66,canavieiras,BR,-15.675,-38.9472,78.39,88,96,7.43
67,talcahuano,CL,-36.7167,-73.1167,69.8,64,0,11.5
68,coquimbo,CL,-29.9533,-71.3436,66.2,63,20,13.8
69,rincon,US,32.296,-81.2354,52.0,37,40,20.71
70,qaanaaq,GL,77.484,-69.3632,-7.6,85,100,4.45
71,ancud,CL,-41.8697,-73.8203,69.8,56,0,9.22
72,georgetown,MY,5.4112,100.3354,82.0,89,20,4.61
73,favara,IT,37.3175,13.6623,57.2,77,0,5.75
74,puerto ayora,EC,-0.7393,-90.3518,84.2,65,0,17.27
75,skelleftea,SE,64.7507,20.9528,6.8,85,90,4.61
76,chuy,UY,-33.6971,-53.4616,80.02,68,92,8.52
77,amga,RU,60.8953,131.9608,-38.9,79,100,4.41
78,muzambinho,BR,-21.3758,-46.5256,73.4,73,75,2.17
79,saldanha,ZA,-33.0117,17.9442,69.8,60,0,11.5
80,tingi,TZ,-11.3,35.0333,65.26,94,8,3.78
81,danielskuil,ZA,-28.1887,23.5395,58.5,85,90,18.81
82,safonovo,RU,55.15,33.2167,14.56,94,100,8.52
83,maragogi,BR,-9.0122,-35.2225,80.76,72,6,12.15
84,avarua,CK,-21.2078,-159.775,82.4,78,40,9.22
85,kieta,PG,-6.2167,155.6333,80.71,81,86,10.65
86,barra da estiva,BR,-13.6261,-41.3269,77.63,64,35,8.55
87,upernavik,GL,72.7868,-56.1549,-7.58,87,100,5.7
88,jutai,BR,-5.1833,-68.9,82.58,82,96,3.44
89,whitehorse,CA,60.7161,-135.0538,-11.99,70,40,5.75
90,farnham,GB,51.2143,-0.7959,51.01,87,75,13.8
91,angatuba,BR,-23.4897,-48.4128,81.34,74,69,4.99
92,camacha,PT,33.0833,-16.3333,62.6,72,40,11.5
93,neede,NL,52.1342,6.6139,48.0,98,95,1.99
94,port elizabeth,ZA,-33.918,25.5701,69.8,83,40,9.22
95,saint-philippe,RE,-21.3585,55.7679,80.6,78,0,4.61
96,mataram,ID,-8.5833,116.1167,75.2,94,40,6.91
97,jalu,LY,29.0331,21.5482,56.21,48,10,4.9
98,kailua,US,21.4022,-157.7394,75.2,73,75,3.44
99,galle,LK,6.0367,80.217,75.4,88,75,6.02
100,surovatikha,RU,55.7652,43.8984,6.8,85,3,2.24
101,xuddur,SO,4.1213,43.8894,74.05,25,0,13.96
102,salalah,OM,17.0151,54.0924,71.6,60,0,2.3
103,castro,BR,-24.7911,-50.0119,76.1,83,62,3.96
104,san quintin,MX,30.4833,-115.95,68.47,51,67,13.0
105,high level,CA,58.5169,-117.136,-5.8,77,90,16.11
106,maarianhamina,AX,60.0973,19.9348,26.6,86,90,11.5
107,mackay,AU,-21.15,149.2,73.4,94,48,5.75
108,egvekinot,RU,66.3167,-179.1667,-1.3,93,100,12.77
109,bondoukou,CI,8.0333,-2.8,80.06,17,0,1.48
110,kinsale,IE,51.7075,-8.5306,46.99,93,40,12.66
111,barrow,US,71.2906,-156.7887,-25.6,68,1,11.5
112,alta floresta,BR,-9.8756,-56.0861,82.4,74,40,14.97
113,hualmay,PE,-11.0964,-77.6139,75.52,64,45,9.78
114,matamoros,MX,25.5333,-103.25,71.6,26,40,2.08
115,novopokrovka,UA,49.8425,36.5477,32.0,100,90,6.71
116,thompson,CA,55.7435,-97.8558,15.8,92,90,3.44
117,saskylakh,RU,71.9167,114.0833,-9.17,89,100,18.59
118,yellowknife,CA,62.456,-114.3525,-11.0,70,90,11.5
119,loralai,PK,30.3705,68.598,47.14,48,0,8.86
120,mar del plata,AR,-38.0023,-57.5575,70.0,88,90,8.05
121,ambon,ID,-3.6954,128.1814,78.8,83,40,3.44
122,khani,GE,41.9563,42.9566,41.0,70,0,5.75
123,te anau,NZ,-45.4167,167.7167,56.12,88,100,1.52
124,kalmunai,LK,7.4167,81.8167,77.45,83,100,13.15
125,bredasdorp,ZA,-34.5322,20.0403,64.4,77,0,2.3
126,saint-francois,FR,46.4154,3.9054,55.4,82,90,4.61
127,maloarkhangelsk,RU,52.4002,36.5033,13.32,96,64,8.19
128,tonantins,BR,-2.8731,-67.8022,81.7,79,100,1.57
129,avera,US,33.194,-82.5271,52.0,43,40,16.11
130,itarema,BR,-2.9248,-39.9167,82.53,67,0,16.75
131,ribeira grande,PT,38.5167,-28.7,55.4,62,40,32.21
132,camacupa,AO,-12.0167,17.4833,66.45,88,100,2.28
133,saint george,US,37.1041,-113.5841,60.8,41,75,6.91
134,labytnangi,RU,66.6572,66.4183,6.46,93,100,4.14
135,chokurdakh,RU,70.6333,147.9167,-3.95,90,88,10.38
136,warmbad,NA,-28.45,18.7333,82.63,37,0,19.3
137,siavonga,ZM,-16.5382,28.7088,77.22,81,100,4.45
138,ilhabela,BR,-23.7781,-45.3581,82.94,67,20,3.38
139,fuling,CN,29.7022,107.3919,48.54,76,52,1.5
140,raymond,US,43.9015,-70.4703,28.99,95,100,7.0
141,touros,BR,-5.1989,-35.4608,84.2,65,40,18.41
142,kavieng,PG,-2.5744,150.7967,81.36,78,100,12.06
143,cherskiy,RU,68.75,161.3,-3.23,84,0,0.98
144,port hedland,AU,-20.3167,118.5667,82.4,83,90,10.36
145,torbay,CA,47.6666,-52.7314,28.99,74,90,8.05
146,bengkulu,ID,-3.8004,102.2655,75.22,89,100,5.86
147,kristiinankaupunki,FI,62.2743,21.376,14.11,95,32,10.47
148,nanortalik,GL,60.1432,-45.2371,16.3,85,0,15.95
149,palu,ID,-0.8917,119.8707,76.14,81,100,1.88
150,zhigalovo,RU,54.8097,105.1578,-15.0,85,100,1.59
151,moerai,PF,-22.4333,-151.3333,80.37,64,66,0.49
152,talnakh,RU,69.4865,88.3972,-10.71,83,100,6.24
153,bambous virieux,MU,-20.3428,57.7575,80.6,78,40,11.5
154,ouahigouya,BF,13.5828,-2.4216,76.41,14,0,9.93
155,tuensang,IN,26.2833,94.8333,50.47,70,0,3.24
156,walvis bay,NA,-22.9575,14.5053,68.0,77,0,6.91
157,bontang,ID,0.1333,117.5,77.79,87,100,6.85
158,pisco,PE,-13.7,-76.2167,77.0,65,0,8.05
159,hasaki,JP,35.7333,140.8333,30.2,80,20,2.3
160,khatanga,RU,71.9667,102.5,-29.54,84,32,9.33
161,shingu,JP,33.7333,135.9833,36.5,77,0,9.82
162,kerrville,US,30.0474,-99.1403,63.0,22,1,12.66
163,atar,MR,20.5169,-13.0499,76.33,16,0,9.82
164,bathsheba,BB,13.2167,-59.5167,82.4,57,40,21.85
165,urumqi,CN,43.801,87.6005,15.8,86,100,6.71
166,kodiak,US,57.79,-152.4072,30.2,86,90,3.44
167,severobaykalsk,RU,55.65,109.3167,-20.54,77,11,2.77
168,vestmannaeyjar,IS,63.4427,-20.2734,35.6,75,20,32.21
169,san vicente,AR,-26.6167,-54.1333,84.69,61,68,3.83
170,seoul,KR,37.5683,126.9778,15.8,67,0,2.3
171,balkhash,KZ,46.844,74.9804,11.48,89,18,2.28
172,manuk mangkaw,PH,4.8,119.85,80.83,81,100,7.14
173,oussouye,SN,12.485,-16.5469,87.8,65,0,4.61
174,peniche,PT,39.3558,-9.3811,59.0,91,100,11.99
175,boden,SE,65.8252,21.6886,3.2,85,75,3.44
176,birjand,IR,32.8663,59.2211,32.0,40,0,4.61
177,severo-kurilsk,RU,50.6789,156.125,25.61,95,31,39.41
178,hoopstad,ZA,-27.8327,25.9083,58.1,93,100,9.04
179,koshurnikovo,RU,54.1667,93.3,-0.24,91,62,2.84
180,nampula,MZ,-15.1165,39.2666,80.6,69,0,10.36
181,benguela,AO,-12.5763,13.4055,75.87,79,100,5.19
182,mayo,US,38.8876,-76.5119,36.0,80,90,11.5
